Date : 2024-05-26 12:54:22
Directory : c:\planool\planool_client\src
Total : 63 files,  2465 codes, 0 comments, 481 blanks, all 2946 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         29 |      1,342 |          0 |        308 |      1,650 |
| CSS            |         24 |        786 |          0 |        114 |        900 |
| TypeScript     |          5 |        238 |          0 |         38 |        276 |
| JavaScript     |          5 |         99 |          0 |         21 |        120 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         63 |      2,465 |          0 |        481 |      2,946 |
| . (Files)                                                                                                  |          7 |        105 |          0 |         19 |        124 |
| components                                                                                                 |         41 |      1,470 |          0 |        258 |      1,728 |
| components\AuthModalPage                                                                                   |          2 |        231 |          0 |         38 |        269 |
| components\Button                                                                                          |          2 |         55 |          0 |          9 |         64 |
| components\ErrorPage                                                                                       |          2 |         32 |          0 |          7 |         39 |
| components\Header                                                                                          |          2 |         62 |          0 |         11 |         73 |
| components\MainHeader                                                                                      |          8 |        104 |          0 |         18 |        122 |
| components\MainHeader (Files)                                                                              |          2 |         24 |          0 |          5 |         29 |
| components\MainHeader\AuthButtons                                                                          |          2 |         27 |          0 |          3 |         30 |
| components\MainHeader\NavBar                                                                               |          2 |         30 |          0 |          5 |         35 |
| components\MainHeader\UserPanel                                                                            |          2 |         23 |          0 |          5 |         28 |
| components\MiniProfilePicture                                                                              |          2 |         45 |          0 |          9 |         54 |
| components\Outlet                                                                                          |          2 |         88 |          0 |         20 |        108 |
| components\PlanViewer                                                                                      |         21 |        853 |          0 |        146 |        999 |
| components\PlanViewer (Files)                                                                              |          3 |        116 |          0 |         18 |        134 |
| components\PlanViewer\PlanBody                                                                             |         12 |        648 |          0 |        112 |        760 |
| components\PlanViewer\PlanBody (Files)                                                                     |          2 |         51 |          0 |         10 |         61 |
| components\PlanViewer\PlanBody\EditModeButton                                                              |          2 |         38 |          0 |          8 |         46 |
| components\PlanViewer\PlanBody\PlanBlock                                                                   |          6 |        423 |          0 |         67 |        490 |
| components\PlanViewer\PlanBody\PlanBlock (Files)                                                           |          2 |        155 |          0 |         24 |        179 |
| components\PlanViewer\PlanBody\PlanBlock\EditModal                                                         |          2 |        146 |          0 |         24 |        170 |
| components\PlanViewer\PlanBody\PlanBlock\StructureSubBlock                                                 |          2 |        122 |          0 |         19 |        141 |
| components\PlanViewer\PlanBody\Timeline                                                                    |          2 |        136 |          0 |         27 |        163 |
| components\PlanViewer\PlanHeader                                                                           |          6 |         89 |          0 |         16 |        105 |
| components\PlanViewer\PlanHeader (Files)                                                                   |          2 |         31 |          0 |          5 |         36 |
| components\PlanViewer\PlanHeader\ActionsPanel                                                              |          2 |         28 |          0 |          6 |         34 |
| components\PlanViewer\PlanHeader\AuthorInfoPanel                                                           |          2 |         30 |          0 |          5 |         35 |
| contexts                                                                                                   |          1 |         51 |          0 |          9 |         60 |
| controllers                                                                                                |          9 |        729 |          0 |        169 |        898 |
| controllers\OverlayController                                                                              |          2 |        101 |          0 |         22 |        123 |
| controllers\PlanEditorController                                                                           |          3 |        329 |          0 |         76 |        405 |
| controllers\SocketController                                                                               |          2 |        174 |          0 |         53 |        227 |
| controllers\ToastController                                                                                |          2 |        125 |          0 |         18 |        143 |
| handlers                                                                                                   |          1 |         14 |          0 |          3 |         17 |
| hooks                                                                                                      |          1 |         22 |          0 |          9 |         31 |
| services                                                                                                   |          3 |         74 |          0 |         14 |         88 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                   | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\planool\planool_client\src\App.css                                                                      | CSS            |          8 |          0 |          1 |          9 |
| c:\planool\planool_client\src\App.tsx                                                                      | TypeScript JSX |         24 |          0 |          4 |         28 |
| c:\planool\planool_client\src\components\AuthModalPage\index.tsx                                           | TypeScript JSX |        101 |          0 |         21 |        122 |
